SVSPP,NEIEA
1,Other
2,NA
3,Sharks/Rays
4,NA
6,NA
9,Sharks/Rays
13,Elasmobranchs
14,Elasmobranchs
15,Elasmobranchs
20,NA
21,Sharks/Rays
22,Elasmobranchs
23,Elasmobranchs
24,Elasmobranchs
25,Elasmobranchs
26,Elasmobranchs
27,Elasmobranchs
31,Forage Fish
32,Forage Fish
33,Forage Fish
34,Forage Fish
35,Forage Fish
36,Forage Fish
37,NA
43,Forage Fish
44,NA
46,NA
47,NA
54,NA
56,NA
60,NA
61,NA
63,NA
64,NA
65,NA
67,NA
69,Groundfish
70,NA
72,Groundfish
73,Groundfish
74,Groundfish
75,Groundfish
76,Groundfish
77,Groundfish
78,Other
79,NA
80,NA
81,Other
82,NA
83,Other
86,Other
87,NA
88,NA
90,Other
91,NA
92,Other
93,NA
101,Groundfish
102,Groundfish
103,Groundfish
104,Groundfish
105,Groundfish
106,Groundfish
107,Groundfish
108,Groundfish
109,Other
110,NA
111,NA
112,NA
113,Forage Fish
114,Other
115,NA
116,NA
117,NA
120,NA
121,Forage Fish
123,NA
124,Forage Fish
126,Other
127,NA
129,NA
131,Forage Fish
132,NA
133,NA
134,NA
135,Medium pelagics
136,Mid-Atlantic groundfish
138,NA
139,Medium pelagics
141,Mid-Atlantic groundfish
142,Other
143,Mid-Atlantic groundfish
144,NA
145,NA
146,Other
148,NA
151,Other
154,NA
155,Groundfish
156,Other
158,NA
159,NA
162,NA
163,Other
164,Other
167,NA
170,NA
171,Other
172,Other
173,Other
174,Other
176,Other
177,Other
180,NA
181,NA
182,NA
187,NA
188,NA
190,NA
191,NA
192,Other
193,Groundfish
194,NA
196,NA
197,Groundfish
199,NA
201,NA
202,NA
203,NA
204,NA
206,NA
207,NA
208,NA
209,Forage Fish
211,Forage Fish
212,Forage Fish
213,NA
221,NA
229,NA
231,NA
232,NA
235,NA
239,NA
240,NA
242,NA
246,NA
248,NA
250,NA
251,NA
252,NA
260,NA
261,NA
263,Other
264,NA
265,NA
280,NA
301,BenthicInvert
302,NA
305,NA
307,NA
310,BenthicInvert
311,BenthicInvert
312,BenthicInvert
313,BenthicInvert
314,BenthicInvert
317,BenthicInvert
318,BenthicInvert
319,NA
320,NA
321,NA
322,BenthicInvert
328,NA
339,NA
340,BenthicInvert
341,NA
342,NA
352,NA
384,NA
390,NA
399,NA
401,BenthicInvert
421,NA
423,Forage Fish
425,NA
437,NA
450,NA
451,NA
452,NA
461,NA
463,NA
492,NA
500,NA
501,NA
502,Forage Fish
503,Forage Fish
504,NA
510,NA
517,NA
526,NA
546,NA
549,NA
554,NA
576,NA
582,NA
584,NA
596,NA
597,NA
616,NA
617,NA
643,NA
700,NA
735,NA
753,NA
755,NA
759,NA
773,NA
794,NA
795,NA
820,NA
825,NA
851,Forage Fish
856,NA
866,NA
867,NA
876,NA
891,NA
896,NA
950,NA
