"","YEAR","wt_mean_temp"
"1",1968,7.39185676777192
"2",1969,7.68708380703838
"3",1970,7.84189379813264
"4",1971,7.64304637351947
"5",1972,7.80109338601903
"6",1973,8.2443520502581
"7",1974,8.31916818671596
"8",1975,7.74681714320543
"9",1976,8.07333437976619
"10",1977,7.60538255571741
"11",1978,7.821201985736
"12",1979,7.91525190038998
"13",1980,7.96144427213702
"14",1981,8.00055533207734
"15",1982,8.52472203679353
"16",1983,8.69714628244073
"17",1984,7.47787930653337
"18",1985,7.55062037248803
"19",1986,8.47324971117709
"20",1987,7.92380394925038
"21",1988,7.9407341488829
"22",1989,7.46652592222564
"23",1990,7.93187789722014
"24",1991,7.94849077883609
"25",1992,7.77109889877162
"26",1993,7.40610914619574
"27",1994,7.87601672239229
"28",1995,7.85589754972884
"29",1996,7.77573773043577
"30",1997,8.59292913341473
"31",1998,7.5367510488216
"32",1999,7.7409964797264
"33",2000,7.73280823818338
"34",2001,8.3180193660599
"35",2002,10.8374320262631
"36",2003,7.95612960097669
"37",2004,7.85826773945637
"38",2005,8.18940475185289
"39",2006,8.92796195719004
"40",2007,8.74191230551998
"41",2008,8.55585884136597
"42",2009,8.28714352132432
"43",2010,8.58352252372844
"44",2011,8.1113751551246
"45",2012,9.50785013119119
"46",2013,8.70420634720157
"47",2014,11.0179958651841
"48",2015,9.38627047416643
"49",2016,13.1308747504568
"50",2017,10.1537880462315
"51",2018,9.13876153156158
"52",2019,9.73671807753656
"53",2020,8.4412965975434
