"Year","Pounds","Metric Tons","Dollars","Collection"
"2000","44,832,357","20,336","61,328,974","Commercial"
"1950","142,914,500","64,826","15,625,114","Commercial"
"1951","138,886,500","62,999","15,241,981","Commercial"
"1952","141,384,900","64,132","13,639,356","Commercial"
"1953","138,386,700","62,772","9,729,078","Commercial"
"1954","139,271,800","63,173","8,423,007","Commercial"
"1955","134,870,200","61,177","9,819,861","Commercial"
"1956","154,910,700","70,267","9,573,211","Commercial"
"1957","158,564,200","71,924","9,252,668","Commercial"
"1958","98,013,200","44,458","8,271,523","Commercial"
"1959","115,669,700","52,467","8,965,310","Commercial"
"1960","126,521,500","57,390","8,885,755","Commercial"
"1961","124,907,900","56,658","9,319,113","Commercial"
"1962","225,759,300","102,404","10,201,097","Commercial"
"1963","191,255,700","86,753","9,718,247","Commercial"
"1964","197,022,100","89,369","10,790,481","Commercial"
"1965","147,462,500","66,889","12,387,307","Commercial"
"1966","64,113,100","29,082","11,348,654","Commercial"
"1967","37,509,300","17,014","12,582,555","Commercial"
"1968","59,487,900","26,984","14,326,099","Commercial"
"1969","41,387,400","18,773","14,040,235","Commercial"
"1970","32,484,100","14,735","16,116,637","Commercial"
"1971","36,852,794","16,716","18,710,512","Commercial"
"1972","37,498,751","17,009","22,152,783","Commercial"
"1973","36,899,796","16,738","22,084,073","Commercial"
"1974","35,471,804","16,090","25,475,239","Commercial"
"1975","38,026,604","17,249","28,503,780","Commercial"
"1976","35,182,589","15,959","32,604,336","Commercial"
"1977","33,518,019","15,204","30,846,603","Commercial"
"1978","36,718,858","16,656","33,989,583","Commercial"
"1979","38,956,655","17,671","39,259,906","Commercial"
"1980","41,624,195","18,881","45,403,557","Commercial"
"1981","37,634,555","17,071","45,838,291","Commercial"
"1982","36,805,590","16,695","45,800,496","Commercial"
"1983","39,096,099","17,734","38,546,320","Commercial"
"1984","40,161,741","18,217","40,315,520","Commercial"
"1985","41,336,309","18,750","38,793,726","Commercial"
"1986","44,316,803","20,102","45,756,847","Commercial"
"1987","41,100,878","18,643","53,570,495","Commercial"
"1988","38,682,875","17,546","54,474,922","Commercial"
"1989","41,053,193","18,622","54,686,159","Commercial"
"1990","46,510,585","21,097","55,371,087","Commercial"
"1991","51,694,015","23,448","53,828,558","Commercial"
"1992","53,083,192","24,078","57,680,836","Commercial"
"1993","59,662,031","27,063","61,383,565","Commercial"
"1994","56,241,439","25,511","66,956,142","Commercial"
"1995","57,956,810","26,289","80,095,777","Commercial"
"1996","60,548,986","27,465","85,072,162","Commercial"
"1997","60,085,073","27,254","88,086,057","Commercial"
"1998","56,535,625","25,644","81,884,296","Commercial"
"1999","49,575,851","22,487","74,916,734","Commercial"
"2001","42,524,005","19,289","55,284,745","Commercial"
"2002","38,664,291","17,538","51,431,395","Commercial"
"2003","39,460,337","17,899","51,695,298","Commercial"
"2004","35,238,801","15,984","46,954,963","Commercial"
"2005","39,098,150","17,735","56,475,827","Commercial"
"2006","33,320,644","15,114","58,525,854","Commercial"
"2007","35,832,259","16,253","60,373,728","Commercial"
"2008","34,062,200","15,451","56,673,708","Commercial"
"2009","34,151,240","15,491","48,065,337","Commercial"
"2010","33,774,985","15,320","49,843,838","Commercial"
"2011","32,151,691","14,584","50,626,955","Commercial"
"2012","37,103,966","16,830","55,030,156","Commercial"
"2013","34,440,196","15,622","57,291,254","Commercial"
"2014","27,668,557","12,550","56,775,287","Commercial"
"2015","30,272,343","13,731","69,162,995","Commercial"
"2016","30,233,334","13,714","52,573,803","Commercial"
"2017","25,166,365","11,415","46,786,866","Commercial"
"2018","22,868,172","10,373","46,864,054","Commercial"
"2019","23,580,865","10,696","42,175,723","Commercial"
"2020","23,164,940","10,508","34,226,417","Commercial"
