"","YEAR","TL"
"1",1963,4.06989349525207
"2",1964,4.23832108051732
"3",1965,4.13739492821131
"4",1966,4.1837877944115
"5",1967,4.12132620913907
"6",1968,4.03117326397406
"7",1969,4.1898281779738
"8",1970,4.00700927224089
"9",1971,3.82903312318488
"10",1972,4.01359788780112
"11",1973,3.80640076496713
"12",1974,4.02640947562486
"13",1975,4.07412429022726
"14",1976,3.83985398685567
"15",1977,4.05629892063806
"16",1978,3.99419502142231
"17",1979,4.08810622256221
"18",1980,3.931095836026
"19",1981,4.09914099469349
"20",1982,3.78327904506099
"21",1983,3.85093570184124
"22",1984,4.02442557640437
"23",1985,3.98762864401334
"24",1986,3.55474485239911
"25",1987,3.81587863197246
"26",1988,4.00009431080304
"27",1989,4.18276230245886
"28",1990,3.68785097163324
"29",1991,3.81193568510901
"30",1992,3.7768642290535
"31",1993,3.78424765851846
"32",1994,3.81131022670397
"33",1995,3.85774099401191
"34",1996,3.96227964669146
"35",1997,3.81189607478336
"36",1998,4.13875264070664
"37",1999,3.8034727050356
"38",2000,3.50033770809649
"39",2001,3.79317193508436
"40",2002,3.83780146579064
"41",2003,3.92256492522682
"42",2004,4.17575360028777
"43",2005,3.67778645313173
"44",2006,4.09478085514799
"45",2007,3.95537583009076
"46",2008,3.78454284122656
"47",2009,3.94654640181616
"48",2010,3.90944221048459
"49",2011,4.42060324854289
"50",2012,4.10708269950561
"51",2013,3.49316246648724
"52",2014,3.83918887874003
"53",2015,4.0627594984775
"54",2016,3.71333436616965
"55",2018,3.77857111154291
"56",2019,3.8644231157327
