,SON_lat,SON_lon,JJA_lat,JJA_lon
1982,,,40.375,-73.55830485897957
1983,,,40.62500000000001,-73.0973354352507
1984,39.27348070756849,-72.19239188826215,40.375,-73.39489734558886
1985,39.83779235637243,-73.22828453157899,40.625,-72.74449453978158
1986,,,40.625,-73.00747908559796
1987,,,40.625,-72.4606229500404
1988,,,40.42542645729779,-73.32457354270221
1989,39.7916548437603,-72.9592206883794,40.625,-72.92985258338283
1990,,,40.625,-72.67135859712732
1991,,,40.625,-72.50122118924494
1992,,,40.02361128423629,-73.625
1993,,,40.625,-72.6733107469272
1994,,,40.6418787139618,-72.35812128603818
1995,38.70256251046492,-72.90302354305304,40.625,-72.75551252657672
1996,,,40.57229801453623,-73.17770198546377
1997,,,40.625,-72.85278915788233
1998,,,40.63751012036817,-72.36248987963182
1999,39.44718658996302,-73.08889286982938,,
2000,,,40.46316659307185,-73.28683340692815
2001,39.55934554078438,-73.09125291495705,40.625,-72.39638406258528
2002,39.562137204661916,-73.11086577745735,40.64233198845976,-72.35766801154024
2003,38.83435704421067,-72.97702190990931,39.842124906123495,-73.5921249061235
2004,,,40.62133426529979,-73.12866573470022
2005,38.90781563340018,-72.94556381977776,40.7658769838865,-72.2341230161135
2006,,,40.75701212782258,-72.24298787217742
2007,,,40.625,-72.82677573894425
2008,,,40.8023317828214,-72.1976682171786
2009,39.940118901107624,-73.125,40.625,-72.86640640307222
2010,39.30538783169816,-72.21441381898886,,
2011,39.23881480432231,-72.22061532871223,,
2012,40.14655369592134,-73.125,,
2013,39.98113100508908,-73.125,40.67757584948228,-72.32242415051772
2014,40.229937451754985,-73.14350910855947,40.625,-72.43668376865672
2015,40.19363242481387,-73.3165327214077,40.86760453209443,-72.13239546790557
2016,39.98718147576113,-73.125,,
2017,39.90064286755367,-70.84178401689843,40.73791731054021,-72.26208268945979
2018,,,,
2019,40.20093752482394,-73.17380468946301,40.852519921786545,-72.14748007821346
2020,40.002899889506715,-73.125,,
2021,40.16449052048965,-73.24233176599557,,
2022,,,40.67711273196642,-72.32288726803358
